cord_uid,source_x,title,license,abstract,publish_time,authors,journal,publish_year,abstract_word_count
5804ahgf,Medline,Re-treatment of residual aneurysms after flow diversion: An experimental study.,unk,"Aim Flow diverters are increasingly used to treat aneurysms, but treatment is not always effective. The management of aneurysms that fail to occlude following flow diversion is problematic. We aimed to reproduce failures in an animal model and study re-treatment with additional flow diverters alone or with flow diverters and liquid embolic agent. Material and methods Twenty wide-necked aneurysms were created at the carotid-lingual bifurcation in 10 dogs, and were treated with flow diverters 4-6 weeks later. Follow-up angiography was performed at three months. Suitable residual aneurysms were randomly allocated: re-treatment with flow diverters alone ( n = 6), or with the injection of liquid embolic between two layers of flow diverters ( n = 4) or no re-treatment ( n = 2). Angiography was repeated three months later, followed by euthanasia, photography and pathology. Results Patent wide-necked aneurysms were produced in 17/20 attempts (85%); three months after flow diversion there were 15/17 (88%) residual aneurysms. In three cases, re-treatment was not possible because the flow diverter had prolapsed into the aneurysm, leaving 12 aneurysms to study. Re-treated aneurysms showed improved angiographic results at six months (median score of 2; P = 0.03), but residual aneurysms were present in all cases. Parent artery occlusion occurred in two aneurysms treated with flow diverter plus liquid embolic. At pathology, aneurysms were only partially filled with thrombus; leaks through the flow diverters were found in the neointima connecting the arterial lumen to residual aneurysms. Conclusion Re-treatment of residual flow-diverted experimental aneurysms with additional flow diverters did not lead to aneurysm occlusion.",,"Fahed, Robert; Darsaut, Tim E; Kotowski, Marc; Salazkin, Igor; Raymond, Jean",The neuroradiology journal,,258
kke9n31z,Medline,Our Responsibility to All of Our Patients and Families.,unk,No Abstract,2021-02-01,"Hageman, Joseph R",Pediatric annals,2021.0,2
xuzbv9ey,PMC,Ireland’s Policy Response to Climate Change: An Historical Overview,no-cc,"This chapter provides an overview of Ireland’s policy response to climate change. It traces the evolution of climate policy during four distinct historical phases. The first of these was the era of the so-called Celtic Tiger, which saw a rapid rise in emissions. The second was characterised by profound crisis of economy and polity, during which attention was diverted from climate policy but with a significant fall in greenhouse gas (GHG) emissions. The third phase was the economic recovery, which in many ways was as unexpected in its speed and extent as the crash. During this period, Ireland’s emissions rebounded strongly, illustrating that Ireland’s emissions remain stubbornly coupled to economic growth. Fourth and finally, the chapter examines Irish climate policy since 2017, asking whether Ireland has left its laggard status behind. The chapter concludes with a reflection on the broader context that has shaped Ireland’s policy response to climate change.",2020-07-02,"Torney, Diarmuid",Ireland and the Climate Crisis,2020.0,150
y40ovks5,Medline,Obliterans With Organizing Pneumonia: A Possible Misdiagnosis of Lung Graft-Versus-Host Disease in Posttransplant Patients With COVID-19.,unk,No Abstract,2021-02-01,"Duarte, Fernando Barroso; Lemes, Romélia Pinheiro Gonçalves; Barroso, Karine Sampaio Nunes; Vasconcelos, João Paulo; Pitombeira, Beatriz Stela Gomes de Souza; Gurgel, Lívia Andrade; Viana, Thaísa Marjore Menezes; Duarte, Beatrice Araújo; Duarte, Isabella Araujo; Moura, Anna Thawanny Gadelha",Experimental and clinical transplantation : official journal of the Middle East Society for Organ Transplantation,2021.0,2
bd4m1czr,PMC,Reliability and Validity of the Chinese Nine-Item Basic Psychological Need Satisfaction Scale Based on Self-Determination Theory With Older Adults,cc-by,"Background: Self-determination theory distinguishes three basic human psychological needs: competence, relatedness, and autonomy. The measurement of these needs in populations of older adults has been limited and inadequate. Yet, results from such an assessment are likely to be valuable in policymaking, specifically toward the goal of healthy aging. Aim: The objective of this study was to test the reliability and validity of the Chinese version of the Basic Psychological Need Satisfaction Scale (BPNS) based on self-determination theory with older adults. Methods: A total of 809 older adults were invited to participate in this study. We examined the item analysis, internal reliability, factorial validity, criterion validity, and measurement invariance across sex of a Chinese translation of the BPNS. Results: The findings demonstrated that the scale had a good factorial validity, criterion validity, and satisfactory internal reliability. All the items were qualified according to item analysis (p < 0.001). The Cronbach’s α coefficient for the total scale was 0.877. The coefficients of three subscales were 0.826 (autonomy), 0.807 (competence), and 0.847 (relatedness). Exploratory factor analysis indicated three factors that explained 75.12% of the total variance. Confirmatory factor analysis showed measurement fit exceeded the recommended criteria in all the cases. Measurement invariance analysis manifested that the factor loadings, factor variances and covariances, and residuals to measurement structure were invariant across the male and female participants. Conclusion: The Chinese version of the BPNS based on self-determination theory was proven to be reliable and valid. The usability of the scale to assess the satisfaction of the basic psychological needs of older adults in China was demonstrated.",2021-12-08,"Yang, Yuting; Yao, Miao; Yang, Yongwei; Ye, Qiong; Lin, Ting",Front Psychol,2021.0,261
vsvnad2n,PMC,The Persians: a Civitas of Divine-Immanence,no-cc,"This chapter focuses on analyzing the features and the functions of a civilization grounded in a worldview of wholeness and a sense of holiness, the author calls divine-immanence. Before, enumerating them, he defines divine-immanence. Then, he offers a portray of such a civilization that he claims the Achaemenids of Iran best represents it. The portrait captures three aspects of that civilization: The meaning of presence for Iranians and two examples of people with presence (the first, a conqueror with a vision who created the polity and the second a statesman with a vision who turned it into a civilization). For the Achaemenids, the first was Cyrus and the second Darius. The second aspect was ethos which for the Achaemenids related to three notions of cosmos as the point of reference, strive for the Right and focus on happiness. The theater of the Achaemenids comprised of the institutions of monarchy, hierarchical society and tributary economy.",2020-12-12,"Rajaee, Farhang",Presence and the Political,2020.0,154
ynru605s,Medline,Transition-metal free synthesis of N-aryl carbazoles and their extended analogs.,unk,"Herein, we describe a facile synthesis of N-arylated carbazoles via ladderization of fluorinated oligophenylenes. The reaction consists of two subsequent nucleophilic substitutions triggered by an electronic transfer from dimsyl anions. The reaction allows the effective one-pot formation of at least six C-N bonds with pronounced selectivity to the C-F bond placement.",2021-08-09,"Feofanov, Mikhail; Akhmetov, Vladimir; Takayama, Ryo; Amsharov, Konstantin",Organic & biomolecular chemistry,2021.0,51
j3u8oai3,Medline,The Role of Psychotherapy During the COVID-19 Pandemic.,unk,No Abstract,2020-06-01,"Swartz, Holly A",American journal of psychotherapy,2020.0,2
14t4p9pk,Medline,Dual effects of targeting S100A11 on suppressing cellular metastatic properties and sensitizing drug response in gastric cancer.,unk,"BACKGROUND S100A11 is a member of the S100 family of proteins containing two EF-hand calcium-binding motifs. The dysregulated expression of the S100A11 gene has been implicated in tumour metastasis. However, the role of S100A11 protein in tumour cell response to chemotherapeutic drugs has not been characterised. METHODS Transcript levels of S100A11 in gastric cancer were evaluated using an in-house patient cohort. Protein expression of S100A11 in gastric cancer was estimated by immunohistochemistry of a tissue microarray. The stable gastric cancer cell lines were established using lentiviral shRNA vectors. The knockdown of S100A11 was validated by qRT-PCR, PCR, and Western blot. The cellular function of S100A11 was estimated by assays of cell adhesion, migration, and invasion. The cell cytotoxic assay was performed to investigate the response to chemotherapeutic drugs. An unsupervised hierarchical clustering and principal component analysis (HCPC) was applied to unveil the dimensional role of S100A11 among all S100 family members in gastric cancer. RESULTS High expression of S100A11 is associated with poor survival of gastric cancer patients (p < 0.001, HR = 1.85) and is an independent prognostic factor of gastric cancer. We demonstrate that S100A11 plays its role as a tumour promoter through regulating the MMP activity and the epithelial-mesenchymal transition (EMT) process. The stable knockdown of S100A11 suppresses the metastatic properties of gastric cancer cells, which include enhancing cell adhesion, but decelerating cell migration and invasion. Furthermore, the knockdown of S100A11 gene expression dramatically induces the cellular response of gastric cancer cells to the first-line chemotherapeutic drugs fluoropyrimidine 5-fluorouracil (5-FU) and cisplatin. CONCLUSION The present study identifies S100A11 as a tumour promoter in gastric cancer. More importantly, the S100A11-specific targeting potentially presents dual therapeutic benefits by not only controlling tumour progression but also sensitising chemotherapeutic cytotoxic response.",2021-04-30,"Cui, Yuxin; Li, Liting; Li, Zhilei; Yin, Jie; Lane, Jane; Ji, Jiafu; Jiang, Wen G",Cancer cell international,2021.0,290
2tuv2lxr,PMC,Polymorphisms of Antigen-Presenting Machinery Genes in Non-Small Cell Lung Cancer: Different Impact on Disease Risk and Clinical Parameters in Smokers and Never-Smokers,cc-by,"Lung cancer is strongly associated with cigarette smoking; nevertheless some never-smokers develop cancer. Immune eradication of cancer cells is dependent on polymorphisms of HLA class I molecules and antigen-processing machinery (APM) components. We have already published highly significant associations of single nucleotide polymorphisms (SNPs) of the ERAP1 gene with non-small cell lung cancer (NSCLC) in Chinese, but not in Polish populations. However, the smoking status of participants was not known in the previous study. Here, we compared the distribution of APM polymorphic variants in larger cohorts of Polish patients with NSCLC and controls, stratified according to their smoking status. We found significant but opposite associations in never-smokers and in smokers of all tested SNPs (rs26653, rs2287987, rs30187, and rs27044) but one (rs26618) in ERAP1. No significant associations were seen in other genes. Haplotype analysis indicated that the distribution of many ERAP1/2 haplotypes is opposite, depending on smoking status. Additionally, haplotypic combination of low activity ERAP1 and the lack of an active form of ERAP2 seems to favor the disease in never-smokers. We also revealed interesting associations of some APM polymorphisms with: age at diagnosis (ERAP1 rs26653), disease stage (ERAP1 rs27044, PSMB9 rs17587), overall survival (ERAP1 rs30187), and response to chemotherapy (ERAP1 rs27044). The results presented here may suggest the important role for ERAP1 in the anti-cancer response, which is different in smokers versus never-smokers, depending to some extent on the presence of ERAP2, and affecting NSCLC clinical course.",2021-05-31,"Wiśniewski, Andrzej; Sobczyński, Maciej; Pawełczyk, Konrad; Porębska, Irena; Jasek, Monika; Wagner, Marta; Niepiekło-Miniewska, Wanda; Kowal, Aneta; Dubis, Joanna; Jędruchniewicz, Natalia; Kuśnierczyk, Piotr",Front Immunol,2021.0,238
rrcmhdfl,PMC,Nutrition Program Improves Health-Related Outcomes of Non-Diabetic Elderly at Nutritional Risk,cc-by,"Malnutrition or its risk affects up to 1 in 3 older adults receiving outpatient care post a hospitalization or for chronic disease management. Although malnutrition poses a negative burden on someone’s recovery and health preservation, it can be effectively addressed through cost-effective nutrition interventions delivered as comprehensive quality improvement programs (QIPs) aiding to advance healthcare professional’s nutrition education/training and improve quality of care for at-risk/malnourished individuals. Although evidence from US and Europe demonstrates nutrition-focused QIPs are effective in delivering high-quality nutrition care and improve health outcomes of outpatients at-risk/malnourished, to date, no evidence has been reported from Latin American countries. We assessed effectiveness of a comprehensive, nutrition-focused QIP in a Colombian outpatient clinic. Between 09/2019-03/2020, 504 (of total 618) QIP participants were classified at-risk/malnourished and non-diabetics. Participants were followed for 90-days either in-person or via telehealth mechanisms (during COVID-19-imposed lockdown period). QIP interventions included healthcare professional nutrition education; QIP participant continuous nutrition and exercise counselling and 60-day supply of oral nutrition supplement (Ensure®, Abbott). QIP participants were 69% female, with >2 comorbidities, and mean age of 73. Improvement or maintenance of good mental health/well-being, frailty status, cognition and quality of life was reported for 90.7% (456/503), 87.3% (407/466), 86.7% (405/467) and 47% (237/504) participants, respectively (p-values<0.05). Results support QIP effectiveness in driving improved health-related outcomes for non-diabetic, at-nutritional-risk participants. These findings highlight the importance of nutrition-focused QIPs with ONS for older adults during their recovery phase post a recent hospitalization and/or for chronic disease management.",2021-12-17,"Brunton, Cory; Venegas-Sanabria, Luis Carlos; Gomez, Gabriel; Misas, Juan Diego; Sulo, Suela",Innov Aging,2021.0,245
5y4f87g3,PMC,"Multiple drugs: Pancytopenia, unmasking of myelodysplastic-syndrome and lack of efficacy: case report",no-cc,No Abstract,2022-05-14,Anonymous,Reactions Weekly,2022.0,2
m0rnegya,PMC,Tozinameran: Acute myocarditis,no-cc,No Abstract,2021-09-11,Anonymous,Reactions Weekly,2021.0,2
1053m801,Medline,Exploitation of the COVID-19 pandemic by e-cigarette marketers.,unk,No Abstract,2020-08-27,"Ramamurthi, Divya; Chau, Cindy; Jackler, Robert K",Tobacco control,2020.0,2
5v0fzzo9,Medline,Outcomes of Patients on Maintenance Dialysis Hospitalized with COVID-19.,unk,No Abstract,2020-10-30,"Chan, Lili; Jaladanki, Suraj K; Somani, Sulaiman; Paranjpe, Ishan; Kumar, Arvind; Zhao, Shan; Kaufman, Lewis; Leisman, Staci; Sharma, Shuchita; He, John Cijiang; Murphy, Barbara; Fayad, Zahi A; Levin, Matthew A; Bottinger, Erwin P; Charney, Alexander W; Glicksberg, Benjamin S; Coca, Steven G; Nadkarni, Girish N",Clinical journal of the American Society of Nephrology : CJASN,2020.0,2
588s296j,Medline,Frontlines: Going the Distance in a World Turned Upside Down.,unk,No Abstract,2020-07-01,"Stern, Gavin",Biomedical instrumentation & technology,2020.0,2
xwrzexzh,Medline,"Repurposing of genistein as anti-sickling agent: elucidation by multi spectroscopic, thermophoresis, and molecular modeling techniques.",unk,"Sickle cell disease (SCD) is a major medical problem in which mono-therapeutic interventions have so far shown only limited effectiveness. We studied the repurpose of genistein, which could prevent sickle hemoglobin from polymerizing under hypoxic conditions in this disease. Genistein an important nutraceutical molecule found in soybean. The present study examines the repurposing genistein as an anti- sickling agent. Genistein shows inhibition of Hb S polymerization as well as a sickle reversal. Also, we have explored the interaction of the genistein with sickle hemoglobin (Hb S), using fluorescence, far-UV-CD spectroscopy, MicroScale Thermophoresis (MST), FTIR, combined with molecular modeling computations. The quenching constant decreases with increasing temperature, a characteristic that coincides with the static type of quenching mechanism. Temperature-dependent fluorescence measurements and molecular modeling studies reveal that apart from the hydrogen bonding, electrostatic interactions also play a crucial role in genistein and Hb S complex formation. In silico, distribution prediction of adsorption, digestion, metabolism, excretion, and toxicity (ADME/Tox) based on physical and chemical properties show that genistein is nontoxic and has ideal drug properties. The helicity and thermophoretic mobility of Hb S was a change in the presence of genistein, which leads to the destabilizing the Hb S polymer was examined using CD and MST, respectively. Our results open up the possibility for a promising therapeutic approach for the SCD by repurposed genistein as an anti-sickling agent. Communicated by Ramaswamy H. Sarma.",2020-12-11,"Syed, Muntjeeb M; Doshi, Pooja J; Bharshankh, Ankita; Dhavale, Dilip D; Kate, Sudam L; Kulkarni, Girish; Doshi, Jignesh B; Kulkarni, Mohan V",Journal of biomolecular structure & dynamics,2020.0,231
cqpit9gu,Medline,Persons with Substance Abuse Disorders and Other Addictions: Coping with the COVID-19 Pandemic.,unk,"Cuba implemented policies mandating social distancing on March 11, 2020, which were still in place at the time of this study. During such periods of isolation, people with psychoactive substance-related disorders and other addictions may be tempted to reduce tension, stress, uncertainty and possible distress by increasing the use of substances or practices they have abused. This can mean relapses and setbacks for patients undergoing treatment. A multidisciplinary team of health professionals specializing in addiction at the Center for Academic Development in Drug Addiction, in Havana, Cuba, cares for people with these disorders and followed their evolution during the initial period of COVID-19 social isolation. With the aim of characterizing strategies employed by patients undergoing treatment for substance abuse and addictions, we conducted a qualitative study from April 2020 through May 2020, using a convenience sample of 37 patients (all students) who had been progressing towards recovery from addictive behaviors when face-to-face encounters were suspended due to COVID-19 restrictions. Contact was maintained through information and communication technologies. The research used telepsychology and focused on understanding patient life experiences. Patients were interviewed using a semi-structured survey, which was then transcribed and coded thematically using a grounded-theory approach. We found that patients' ability to cope successfully with challenges presented by COVID-19 were influenced by: 1) the individual's own methods for maintaining self-control (commitment to studies, projects, and work with therapists) that aided them in their goals concerning abstinence; 2) difficulties faced in addressing specific events and situations (doubts, uncertainties, disagreements, isolation and time use); 3) perpetuation and revivification of myths related to substances and addictive activities (exacerbation of supposed benefits of tobacco, alcohol, marijuana, overuse of social networks); and 4) tendencies toward irrationality and lack of emotional control (fear, sadness, anger, constant worry and self-imposed demands). Our findings suggest that despite the potential negative psychological impact of preventive social isolation during the COVID-19 pandemic, individual coping mechanisms developed by these patients, aiming at improved self-control, allowed most to avoid setbacks that could have affected their recovery. Nevertheless, patients faced challenges to their recovery that were compounded by difficulties in specific situations, myths related to substances and addictive activities, and tendencies toward irrationality or lack of emotional control.",2021-04-01,"Fabelo-Roche, Justo R; Iglesias-Moré, Serguei; Gómez-García, Ana M",MEDICC review,2021.0,365
zibdvqax,Medline,Enhancement of pyocyanin production by subinhibitory concentration of royal jelly in Pseudomonas aeruginosa.,unk,"Background: Pseudomonas aeruginosa, a multidrug-resistant Gram-negative bacterium, produces pyocyanin, a virulence factor associated with antibiotic tolerance. High concentrations of royal jelly have an antibacterial effect, which may potentially overcome antibacterial resistance. However, in some cases, antibiotic tolerance can occur due to prolonged stress of low-dose antibacterial agents. This study aimed to investigate the effect of subinhibitory concentrations of royal jelly on bacterial growth, pyocyanin production, and biofilm formation of P. aeruginosa. Methods: Pseudomonas aeruginosa ATCC 10145 and clinical isolates were cultured in a royal jelly-containing medium to test the antibacterial activity. Pyocyanin production was observed by measuring the absorbance at 690 nm after 36 h culture and determined using extinction coefficient 4310 M-1 cm-1. Static microtiter plate biofilm assay performed to detect the biofilm formation, followed by scanning electron microscopy. Results: Royal jelly effectively inhibited the viability of both strains from a concentration of 25%. The highest production of pyocyanin was observed in the subinhibitory concentration group 6.25%, which gradually decreased along with the decrease of royal jelly concentration. Results of one-way ANOVA tests differed significantly in pyocyanin production of the two strains between the royal jelly groups. Tukey HSD test showed concentrations of 12.5%, 6.25%, and 3.125% significantly increased pyocyanin production of ATCC 10145, and the concentrations of 12.5% and 6.25% significantly increased production of the clinical isolates. Concentrations of 12.5% and 6.125% significantly induced biofilm formation of P. aeruginosa ATCC 10145, in line with the results of the SEM analysis. Conclusions: The royal jelly concentration of 25% or higher inhibits bacterial growth; however, the subinhibitory concentration increases pyocyanin production and biofilm formation in P. aeruginosa . It is advisable to determine the appropriate concentration of royal jelly to obtain beneficial virulence inhibiting activity.",,"Amly, Dina Auliya; Hajardhini, Puspita; Jonarta, Alma Linggar; Yulianto, Heribertus Dedy Kusuma; Susilowati, Heni",F1000Research,,285
d7u8z1ug,Medline,ASGE position statement on endoscopic bariatric therapies in clinical practice.,unk,No Abstract,,"Sullivan, Shelby; Kumar, Nitin; Edmundowicz, Steven A; Abu Dayyeh, Barham K; Jonnalagadda, Sreenivasa S; Larsen, Michael; Thompson, Christopher C",Gastrointestinal endoscopy,,2
ermkfasy,Medline,Plasmacytoid Dendritic Cells as Cell-Based Therapeutics: A Novel Immunotherapy to Treat Human Immunodeficiency Virus Infection?,cc-by,"Dendritic cells (DCs) play a critical role in mediating innate and adaptive immune responses. Since their discovery in the late 1970's, DCs have been recognized as the most potent antigen-presenting cells (APCs). DCs have a superior capacity for acquiring, processing, and presenting antigens to T cells and they express costimulatory or coinhibitory molecules that determine immune activation or anergy. For these reasons, cell-based therapeutic approaches using DCs have been explored in cancer and infectious diseases but with limited success. In humans, DCs are divided into heterogeneous subsets with distinct characteristics. Two major subsets are CD11c+ myeloid (m)DCs and CD11c- plasmacytoid (p)DCs. pDCs are different from mDCs and play an essential role in the innate immune system via the production of type I interferons (IFN). However, pDCs are also able to take-up antigens and effectively cross present them. Given the rarity of pDCs in blood and technical difficulties in obtaining them from human blood samples, the understanding of human pDC biology and their potential in immunotherapeutic approaches (e.g. cell-based vaccines) is limited. However, due to the recent advancements in cell culturing systems that allow for the generation of functional pDCs from CD34+ hematopoietic stem and progenitor cells (HSPC), studying pDCs has become easier. In this mini-review, we hypothesize about the use of pDCs as a cell-based therapy to treat HIV by enhancing anti-HIV-immune responses of the adaptive immune system and enhancing the anti-viral responses of the innate immune system. Additionally, we discuss obstacles to overcome before this approach becomes clinically applicable.",,"van der Sluis, Renée M; Egedal, Johanne H; Jakobsen, Martin R",Frontiers in cellular and infection microbiology,,250
ar3h8587,Medline,Prevalence of Taste and Smell Dysfunction in Coronavirus Disease 2019.,unk,"Importance Early diagnosis of coronavirus disease 2019 (COVID-19) may help control the diffusion of the disease into the population. Objective To investigate the presence of sinonasal manifestations at the onset of COVID-19 to achieve an earlier diagnosis. Design, Setting, and Participants This retrospective telephone survey study investigated patients diagnosed with COVID-19 from March 5 to March 23, 2020, who were hospitalized or discharged from a single referral center. Patients who were unable to answer (intubated, receiving noninvasive ventilation, or deceased) or unreachable by telephone were excluded. Of 359 consecutive patients, 204 fulfilled the inclusion criteria; 76 were unable to answer, 76 were unreachable by telephone, and 3 refused. Exposures Sinonasal manifestations reported before COVID-19 diagnosis were studied with a validated questionnaire: Italian Sino-Nasal Outcome Test 22 (I-SNOT-22). If reduction of taste and/or smell was documented by item 5 of the I-SNOT-22, further inquiries were made to score them separately on a scale from 0 to 5, with 0 indicating no problem and 5 indicating problem as bad as it can be. Main Outcomes and Measures The prevalence of sinonasal manifestations preceding COVID-19 diagnosis. Results Among the 204 patients enrolled (110 [53.9%] male; mean [SD] age, 52.6 [14.4] years), the median I-SNOT-22 total score was 21 (range, 0-73). I-SNOT-22 identified 116 patients (56.9%) with reduction of taste and/or smell, 113 (55.4%) with taste reduction (median score, 5; range, 2-5), and 85 (41.7%) with smell reduction (median score, 5; range, 1-5). Eighty-two patients (40.2%) reported both. Severe reduction of taste was present in 81 patients (39.7%), and severe reduction of smell was present in 72 patients (35.3%). Only 12 patients (14.8%) with severe taste reduction and 12 patients (16.7%) with severe smell reduction reported severe nasal obstruction. Severe reduction of taste and smell was more prevalent in female vs male patients (odds ratios, 3.16 [95% CI, 1.76-5.67] vs 2.58 [95% CI, 1.43-4.65]) and middle-aged vs younger patients (effect sizes, 0.50 [95% CI, 0.21-0.78] vs 0.85 [95% CI, 0.55-1.15]). No significant association was observed between smoking habits and severe reduction of taste (odds ratio, 0.95; 95% CI, 0.53-1.71) and/or smell (odds ratio, 0.65; 95% CI, 0.35-1.21). Conclusions and Relevance The findings of this telephone survey study suggest that reduction of taste and/or smell may be a frequent and early symptom of COVID-19. Nasal obstruction was not commonly present at the onset of the disease in this study. The general practitioner may play a pivotal role in identifying potential COVID-19 in patients at an early stage if taste and/or smell alterations manifest and in suggesting quarantine before confirmation or exclusion of the diagnosis.",2020-06-18,"Mercante, Giuseppe; Ferreli, Fabio; De Virgilio, Armando; Gaino, Francesca; Di Bari, Matteo; Colombo, Giovanni; Russo, Elena; Costantino, Andrea; Pirola, Francesca; Cugini, Giovanni; Malvezzi, Luca; Morenghi, Emanuela; Azzolini, Elena; Lagioia, Michele; Spriano, Giuseppe",JAMA otolaryngology-- head & neck surgery,2020.0,429
mj4fx6am,Medline,Primatology at the last meeting of the American Association of Physical Anthropologists.,unk,No Abstract,2021-08-24,"Kitrinos, Catherine E; Fuchs, Amanda J; Claypool, Christopher G; Gunson, Jessica L; Kamilar, Jason M",Evolutionary anthropology,2021.0,2
f787tvoi,Medline,Cholesterol metabolism and tumor.,unk,"Cholesterol is an important lipid in the body of mammals and an essential component of membrane structures. Cholesterol homeostasis is critical for the maintenance of cellular and body activities, and is mainly regulated by the balance of cholesterol biosynthesis and the exogenous cholesterol uptake. Aberrantly regulated cholesterol metabolism promotes tumor cell proliferation，survival，invasion and metastasis，and their adaptability into the tumor microenvironment. Therefore，targeting cholesterol biosynthesis and reduction of plasma cholesterol levels and cholesterol esterification will provide new strategies for cancer treatment. This review summarizes the current understanding in cholesterol homeostasis regulation and its function in the occurence and development of cancer，as well as current metabolism-targeted cancer treatments.",2021-02-25,"Meng, Ying; Wang, Qifei; Lyu, Zhimin",Zhejiang da xue xue bao. Yi xue ban = Journal of Zhejiang University. Medical sciences,2021.0,105
esarf6gy,Medline,Suspected COVID-19 flu-like syndrome in men who have sex with men and have been involved in casual sex.,cc-by,"OBJECTIVE To evaluate the presence of flu-like syndrome suggestive of COVID-19 in men who have sex with men (MSM) and engaged in casual sex during a period of social isolation. METHOD National epidemiological survey, applied in April and May 2020, by adaptation of Respondent Drive Sampling. RESULTS 1,337 MSM participated in the survey, of which 514 (38.4%) had fever associated with another sign or symptom of flu-like syndrome. Social, demographic characteristics, sexual practices and activities during the period of social isolation were statistically associated with the presence of flu-like syndrome. There was a statistical difference (p < 0.001) in the average of partners between those who had signs and symptoms of flu-like syndrome (3.5) and those who did not (1.7). CONCLUSION Evidence of signs and symptoms indicative of flu-like syndrome suggestive of COVID 19 in Brazilian MSM who were involved in casual sex during the period of social isolation.",,"Carvalho, Herica Emilia Félix de; Schneider, Guilherme; Sousa, Anderson Reis de; Camargo, Emerson Lucas Silva; Nunes, Rômulo Veloso; Possani, Matheus Arantes; Barbosa, Dulce Aparecida; Mendes, Isabel Amélia Costa; Sousa, Álvaro Francisco Lopes de",Revista brasileira de enfermagem,,149
18q0zxdj,Medline,"Justice, diversity, and research ethics review.",unk,No Abstract,2021-03-19,"Strauss, David H; White, Sarah A; Bierer, Barbara E",Science,2021.0,2
fcwg2moh,Medline,The Role of Medical Students During the COVID-19 Pandemic.,unk,No Abstract,2020-11-17,"Miller, David Gibbes; Pierson, Leah; Doernberg, Samuel",Annals of internal medicine,2020.0,2
c7p9rufl,Medline,Long-term efficacy and safety of ustekinumab in 122 refractory Crohn's disease patients: a multicentre experience.,unk,"BACKGROUND Long-term outcome of ustekinumab in Crohn's disease (CD) has not been evaluated. AIM To evaluate the long-term efficacy and safety of ustekinumab and identify the predictive factors of ustekinumab failure-free persistence in a cohort of anti-TNF refractory CD patients. METHODS We performed a retrospective multicentre cohort study including all consecutive CD patients who began subcutaneous ustekinumab and presented a clinical response (defined as a significant improvement of CD-related clinical symptoms assessed by the patient's physician leading to continued ustekinumab) during the first year of treatment. Primary outcome was treatment failure defined as withdrawal of treatment due to loss of response, intolerance or need for surgery. RESULTS Eighty-eight of the 122 (72%) CD patients beginning ustekinumab from March 2011 to December 2014, responded to ustekinumab and were followed up until November 2016. Median time on ustekinumab was 26.6 (13.4-34.4) months. Forty-seven patients (54%) continued ustekinumab with a clinical response and 38 (43%) stopped treatment (32 for failure, five for remission and one for pregnancy). Endoscopic response was observed in 82% of patients with endoscopic evaluation and mucosal healing in 39%. Ustekinumab failure-free persistence rates were 78% at 12 months, 66% at 24 months and 55% at 36 months. No predictive factor of ustekinumab failure-free persistence was identified. One severe adverse event was observed (anal adenocarcinoma). CONCLUSION In this cohort of refractory CD patients receiving long-term ustekinumab therapy, more than 50% of patients continued ustekinumab treatment with no loss of response, intolerance or surgery and with a good safety profile.",,"Wils, P; Bouhnik, Y; Michetti, P; Flourie, B; Brixi, H; Bourrier, A; Allez, M; Duclos, B; Serrero, M; Buisson, A; Amiot, A; Fumery, M; Roblin, X; Peyrin-Biroulet, L; Filippi, J; Bouguen, G; Abitbol, V; Coffin, B; Simon, M; Laharie, D; Pariente, B",Alimentary pharmacology & therapeutics,,249
wi6hykvg,Medline,Recommendations in covid-19 times: a view for home care.,cc-by,"OBJECTIVE To suggest recommendations for the practice of Home Nursing in the context of COVID-19. METHOD Reflective study, originated from readings associated with the theme, available in current guidelines from the Pan American Health Organization, World Health Organization and the Ministry of Health. RESULTS Recommendations were developed from current scientific evidence for prevention of infections, control of epidemics and pandemics in the Brazilian home scenario. FINAL CONSIDERATIONS the reflections achieved contribute to guiding actions for better assistance to the patient, family caregivers and the community in the perspective of safe home care with COVID-19, and it is characterized as an introductory discussion on the theme, encouraging new studies to be carried out from the unfolding of the current scenario.",,"Tonin, Luana; Lacerda, Maria Ribeiro; Caceres, Nayla Tamara de Godoi; Hermann, Ana Paula",Revista brasileira de enfermagem,,119
xtk5f8oz,Medline,"Country-level factors associated with the early spread of COVID-19 cases at 5, 10 and 15 days since the onset.",unk,"The COVID-19 pandemic is causing a significant global health crisis. As the disease continues to spread worldwide, little is known about the country-level factors affecting the transmission in the early weeks. The present study objective was to explore the country-level factors, including government actions that explain the variation in the cumulative cases of COVID-19 within the first 15 days since the first case reported. Using publicly available sources, country socioeconomic, demographic and health-related risk factors, together with government measures to contain COVID-19 spread, were analysed as predictors of the cumulative number of COVID-19 cases at three time points (t = 5, 10 and 15) since the first case reported (n = 134 countries). Drawing on negative binomial multivariate regression models, HDI, healthcare expenditure and resources, and the variation in the measures taken by the governments, significantly predicted the incidence risk ratios of COVID-19 cases at the three time points. The estimates were robust to different modelling techniques and specifications. Although wealthier countries have elevated human development and healthcare capacity in respect to their counterparts (low- and middle-income countries) the early implementation of effective and incremental measures taken by the governments are crucial to controlling the spread of COVID-19 in the early weeks.",2020-09-07,"Allel, Kasim; Tapia-Muñoz, Thamara; Morris, Walter",Global public health,2020.0,202
fhuwx07h,Medline,[Special Session].,unk,No Abstract,,Anonymous,Nihon saikingaku zasshi. Japanese journal of bacteriology,,2
